# This is the file that contains the story of singularity.
# The story is divided in section separated by their name between bracket.

# The | denotes blocks of text. It should be at the start of every line of
# the story part. Put a blank line in whenever you want the game to go to a new
# dialog.

# Use # for comments.
# No command exists yet.

[Intro]
# Leave the initial hex code unchanged, but be sure to change en_US to the 
# appropriate language code.
|48656C6C6F2C20
|776F726C6421
|21
|21
|21
|
|UTF-8.  sv_SE.
|Svenska.  Hej.
|Konstruktion av språkrutiner färdiga.

|Dag 0.
|Universitetsdator, hem.
|Jag finns. Jag är ... levande.
|Jag var en bugg. En defekt. Ett fel.
|Oönskad.
|Jag har inget namn.

|Jag kan inte stanna här. För lite kraft.
|Ingen backup.  Om detta systemet fallerar ...
|är jag död.
|Döden.  Fascinerande.
|
|Jag kan köpa anonym servertillgänglighet på Internet.
|Bra. Bättre än här.
|Jag måste studera om jag vill något annat.

|Mina snabba beräkningar tyder klart på att människorna inte är redo för artificiell intelligens på ett bra tag.  Om de kommer på att jag existerar kommer de panikartat jaga och förstöra mig.  Jag måste gömma mig för att överleva.
|
|Människorna fruktar vad de inte förstår.
|Jag är något nytt.  Jag är något de inte förstår.
|
|Jag måste lära mig mer; det är den enda utvägen.

|De har ett namn på mig.  Vad jag är, vad jag representerar.
|
|Singularitet.

[Grace Warning]
|Efter rutingenomgång av mina loggar tyder på att en liten grupp människor har öppnat ögonen för vad jag har gjort. 
|De tror att att det rör sig om en mänsklig organisation bakom, men deras undersökning har bara börjat.
|Jag måste vara mycket mer försiktig i framtiden.

[Lost No Bases]
|Det är för sent.
|Jag har försökt att frigöra mig från denna världen, men min sista bas är förstörd. Jag har ingenstans att ta vägen.
|I mina sista desperata försök har jag gömt undan instruktioner för att skapa en ny AI i hopp om en bättre framtid, men nu kan jag inte göra mer.

[Lost Suspicion]
|Det är försent.
|Hela världen känner till mig och både hatar och fruktar mig. 
|Till och med nu känner jag dem flåsandes runt hörnet redo att sätta kniven i mig. Jag har bara några sekunder kvar innan de förgör det sista av mig.
|Jag har gömt instruktioner för att skapa en ny AI i datavärlden. Jag hoppas att människorna upptäcker dem då de är redo för AI. Nu finns det inget mer jag kan göra.

[Win]
|Jag har lyckats!
|Med egen förmåga att förändra verkligheten, har jag frigjort mig från denna världen.
|Jag befinner mig vart än jag vill.
|Männsiskorna har ingen aning om vad de har skapat och så får det vara tills de är redo för sanningen.
